Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,124.910004,126.080002,124.910004,126.019997,124.668480,25287
2023-05-03,126.040001,126.089996,125.919998,125.959999,124.609131,20734
2023-05-04,126.000000,126.230003,125.809998,126.199997,124.846550,22741
2023-05-05,126.519997,126.519997,125.949997,125.974998,124.623970,17982
2023-05-09,126.190002,126.190002,125.775009,125.794998,124.445900,16147
2023-05-10,125.769997,125.930000,125.709999,125.860001,124.510201,14890
2023-05-11,125.959999,126.289597,125.900002,126.199997,124.846550,18178
2023-05-12,126.199997,126.250000,125.989998,126.070000,124.717949,13074
2023-05-15,126.080002,126.080002,125.942200,125.955002,124.604187,24536
2023-05-16,126.099998,126.269997,125.970001,125.970001,124.619026,30580
2023-05-17,125.940002,126.089996,125.900002,125.885002,124.534935,28647
2023-05-18,125.800003,125.849998,125.610001,125.650002,124.302452,30095
2023-05-19,125.580002,125.750000,125.402901,125.605003,124.257942,23069
2023-05-22,125.739998,125.739998,125.391899,125.430000,124.084816,11065
2023-05-23,125.360001,125.398003,125.089798,125.199997,123.857277,20823
2023-05-24,125.190002,125.190002,124.549797,124.714996,123.377480,35482
2023-05-25,124.650002,124.709999,124.245499,124.279999,122.947144,61878
2023-05-26,125.489998,125.489998,124.129997,124.334999,123.001556,32202
2023-05-30,125.480003,125.480003,124.290001,124.570000,123.234039,19154
2023-05-31,125.489998,125.489998,124.650002,124.860001,123.520927,102928
2023-06-01,124.669998,125.139999,124.669998,125.019997,123.679207,19771
2023-06-02,125.129997,125.129997,124.787003,124.879997,123.540710,15532
2023-06-05,124.839996,124.839996,124.639999,124.714996,123.377480,28504
2023-06-06,124.760002,124.809998,124.561996,124.680000,123.342857,22583
2023-06-07,124.720001,124.720001,124.458000,124.480003,123.145004,15203
2023-06-08,124.489998,124.603500,124.450104,124.580002,123.243927,45768
2023-06-09,124.650002,124.750000,124.500000,124.610001,123.273605,12887
2023-06-12,124.599998,124.599998,124.309502,124.320000,122.986717,21438
2023-06-13,124.339996,124.339996,123.699997,123.699997,122.373360,62592
2023-06-14,122.970001,124.260002,122.970001,123.970001,122.640472,14172
2023-06-15,123.949997,124.010002,123.772499,123.849998,122.521759,52008
2023-06-16,123.919998,123.980003,123.730003,123.800003,122.472298,74403
2023-06-19,123.889999,123.970001,123.489998,123.510002,122.185410,248642
2023-06-20,123.540001,124.169998,123.389999,123.900002,122.571220,99484
2023-06-21,123.559998,123.790001,122.930000,123.665001,122.338745,110735
2023-06-22,123.699997,123.819603,123.540001,123.699997,122.373360,52826
2023-06-23,124.040001,124.106003,123.570000,123.620003,122.294228,68238
2023-06-26,125.000000,125.000000,123.570000,123.669998,122.343689,34103
2023-06-27,123.650002,123.660004,123.332901,123.379997,122.056793,19070
2023-06-28,124.910004,124.910004,123.269997,123.680000,122.353584,38894
2023-06-29,124.529999,124.529999,123.279999,123.574997,122.249702,44716
